"Zupid","sku","ProductName","ProductPrice","CurrencySymbolOfPrice","ValidFromDate","ProductShortDescription","MerchantProductCategory","ZanoxCategoryIds","ImageSmallURL","ImageMediumURL","ProductManufacturerBrand","ZanoxProductLink","DeliveryTime","TermsOfContract","ISBN","ShippingAndHandling","ShippingAndHandlingCost"
"cb72efece7e4d121bb25b3e61e1cc05e","0070000000092","Gran Paulet Gran Reserva Rotwein JG 1988","47.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1981-1990",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[nj9M004yJmhuVogGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"009c9a4a5ba9a6c1b48f28cc9ef5f363","0070000000094","Gran Paulet Gran Reserva Rotwein JG 1990","47.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1981-1990",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[V3NCMC3rQmhuVogGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"c7a9a96fbe1e5a28926e9ad4e015376e","0070000000123","Gran Paulet Gran Reserva Rotwein JG 1959","92.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[mw1I81BjhWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"26d276f5d387709c28c0b75ffde5b530","0070000000124","Gran Paulet Gran Reserva Rotwein JG 1960","92.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[KWNut8CklWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"9a3cc9c85c49a3ee6961eaea0bb381e9","0070000000125","Gran Paulet Gran Reserva Rotwein JG 1961","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[2b8Ta5x4pWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"616b357b6d29cc462354725d4d558eea","0070000000126","Gran Paulet Gran Reserva Rotwein JG 1962","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[pvtwQK5ctWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"b4e80dda608b5cd04e2484fe3ead8629","0070000000127","Gran Paulet Gran Reserva Rotwein JG 1963","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[R5vKTaKvwWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"751064301ed2575285df5a41224267e8","0070000000128","Gran Paulet Gran Reserva Rotwein JG 1964","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[th5quYcIAWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"b47c6a3f0051e5f6c8e42192152467f5","0070000000129","Gran Paulet Gran Reserva Rotwein JG 1965","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[PPxVW9BHDWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"cd396c25f4cbd541d06837f67a34f68c","0070000000130","Gran Paulet Gran Reserva Rotwein JG 1966","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[bMMtV9J1HWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
