aff_link,img_medium,name,shortdescription,longdescription,author,outlet,price,external_id,further_keywords,vineyard
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[hjh4b066e6727c1e6.38316380]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/brunellodimontalcin_500_z1.jpg,Geografico Castello di Tricerchi Brunello di Montalcino DOCG JG 2004,Italien - Toskana. Enthält Sulfite.,,edeka24,Edeka Online Shop,27.00,,"['Essen & Trinken / Weinkeller', 'Geografico']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[2t84d6d0831ac9668.59113543]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/soberano_brandy_500_z1.jpg,Soberano Brandy Solera,"Feine Noten von Sherry, feinwürzigem Eichenholz und Vanille. Im Geschmack weich und vollmundig mit feinem Tannin und all den warmen Aromen des Bouquets, die auch am Gaumen gut zu spüren sind, sehr elegant mit wunderschöner Länge im Finale.",,edeka24,Edeka Online Shop,13.99,,"['Getr\xc3\xa4nke / Spirituosen / Brandy / Weinbrand', 'Soberano']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[2t84d6d0a774dd243.10295723]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/soberano8neu_500_z1.jpg,Soberano Brandy Solera Reserva 8 Jahre,"Vielschichtiges, warmwürziges Bouquet mit Noten von getrockneten Früchten, süßen Gewürzen und feiner Vanille.",,edeka24,Edeka Online Shop,15.99,,"['Getr\xc3\xa4nke / Spirituosen / Brandy / Weinbrand', 'Soberano']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[o2j4d2453369bef92.47750716]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/oberkirchermuellerthurgau_3_p1.jpg,OWK Oberkircher Müller Thurgau QbA 1 ltr 2011,Weißwein - Deutschland - Baden - Ortenauer Weinkellerei. Ein fruchtiger Weißwein mit feinem Bouquet und angenehmen Säurespiel.,,edeka24,Edeka Online Shop,3.99,,"['Weinkeller / Deutschland / Baden - Ortenau', 'OWK']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[5864a38b1500c13b0.23404465]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/oberkirchermuellerthurgautr_300_p1.jpg,OWK Oberkircher Müller - Thurgau tr. QbA 1 ltr 2011,Weißwein - Deutschland - Baden - Ortenauer Weinkellerei. Ein trockener Wein mit feinem Bouquet und angenehmen Säurespiel.,,edeka24,Edeka Online Shop,3.99,,"['Weinkeller / Deutschland / Baden - Ortenau', 'OWK']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[PCFRHptScjsLCokGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/47bc29db5232735f9bc972853167216c-8000160612855_iq.jpg,Lamberti Bardolino Classico DOC Rotwein JG 2010,Rotwein - Italien - Venetien.,,edeka24,Edeka Online Shop,4.99,,"['Essen & Trinken / Weinkeller / Italien', 'Lamberti']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[C5FxEGwArlsLCokGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/47bc29db5232735f9bc972853167216c-8000160613319_iq.jpg,Lamberti Merlot Rotwein JG 2010,Rotwein - Italien - Venetien. Ein rebsortentypischer Merlot mit weinig-fruchtigem Bukett. Ein kräftiger Wein von dichter Art mit weichen Tanninen.,,edeka24,Edeka Online Shop,4.99,,"['Essen & Trinken / Weinkeller / Italien', 'Lamberti']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[rolZzNliLjsLCokGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/47bc29db5232735f9bc972853167216c-8000160611179_iq.jpg,Lamberti Pinot Grigio Weißwein,Weißwein - Italien - Venetien. Ein Pinot Grigio mit einem zartduftigen Bukett. Seine leichte Frucht und seine durchgehend frische Säure kennzeichnen diesen rebsortentypischen Wein.,,edeka24,Edeka Online Shop,4.99,,"['Essen & Trinken / Weinkeller / Italien', 'Lamberti']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[lbt4bd1ac3137b085.54645793]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/72e0bbdb4291444f6d9bc53987a9ea68-8001935361404.jpg,Santa Cristina Rosso Toscana IGT JG 2011,Rotwein - Italien - Toskana.,,edeka24,Edeka Online Shop,7.90,,"['Essen & Trinken / Weinkeller / Italien', 'Santa Cristina']",
http://ad.zanox.com/ppc/?20301257C316627293&ULP=[[i2h4cc1550fe5e8c4.84197029]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/oberkircherspbg_300_p1.jpg,OWK Oberkircher Spätburgunder QbA 1 ltr 2011,Rotwein - Deutschland - Baden - Ortenauer Weinkellerei. Ein gehaltvoller Rotwein mit feinen Taninen und ausdrucksvoller Fruchtnote.,,edeka24,Edeka Online Shop,5.49,,"['Weinkeller / Deutschland / Baden - Ortenau', 'OWK']",
