aff_link,img_medium,name,shortdescription,longdescription,author,outlet,price,external_id,further_keywords,vineyard
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[IKFPfy9BJ1qz7wmGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/vega_libre_5_1_300_p1.jpg,Vega Libre 6x Tempranillo Reserva 2008,"Rotwein - Spanien - Utiel-Rquena.  5+1 Aktion - Sie sparen 5,99 Euro.",,eworld24,eworld24 Online Shop,29.95,,"['Weinkeller / Sonderaktionen / ANGEBOTE', 'Vega Libre']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[KXnB2y2fP9L07rjGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/la-cuvee-mythique-6x075.jpg,La Cuvée Mythique 6x Rotwein JG 2010,"Rotwein - Frankreich - Languedoc. Weinpapst Robert M. Parker bewertete die vergangenen Jahrgänge regelmäßig mit bis zu 93 Punkten: Ein Wein, der der Welt beweist, welch hervorragende Qualität im Languedoc-Roussillon erzeugt werden kann.",,eworld24,eworld24 Online Shop,48.50,,"['Weinkeller / Sonderaktionen / ANGEBOTE', 'La Cuv\xc3\xa9e Mythique']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[c9pAlxfX0BzhKolGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/williamsdrysack_15yo_500_z1.jpg,Williams Humbert Dry Sack Solera Especial Sherry 15 Jahre,"Dry Sack Solera Especial 15 Jahre ist mit das Feinste, was das weltberühmte Sherry-Haus Williams+Humbert zubereitet. Dry Sack Solera Especial schmeckt rosinig-süß und doch mit Säurebiss und Tiefe.",,eworld24,eworld24 Online Shop,17.99,,"['Weinkeller / Portwein & Sherry', 'Williams Humbert']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[QTEsxznVe33jvdlGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/aberfeldy_12_500_z1.jpg,Aberfeldy 12 Jahre Single Malt Whisky,Single Malt Scotch Whisky. Herz dieses seidigen Malts einer kleinen Brennerei in den Highlands sind Heide und Berghonig. Unser Geheimtipp!,,eworld24,eworld24 Online Shop,31.90,,"['Weinkeller / Sonderaktionen / Restposten Wein', 'Aberfeldy']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[5LlmQFXzijzUk1iGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/bDIXoa4WZG5nIIvJmn8b78-30.jpg,Conde de Osborne Brandy Gran Reserva,"Spanien. GOLDMEDAILLE Internationaler Spirituosenwettbewerb 2008. Ergebnis wahrer Kunstarbeit mit einer Tradition von über 200 Jahren, wo das ganze Wissen, Erfahrung und Zuwendung der Spanier zusammentreffen.",,eworld24,eworld24 Online Shop,24.99,,"['Dunkle Spirituosen / Brandy & Weinbrand / Osborne Brandy', 'Conde de Osborne']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[hmsd8ec5ecf093082990e9795cdec424]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/510019-ef.jpg,Conte di Lucca Riserva Rotwein 2007 - schwarzes Design,"Rotwein - Italien - Apulien. Über 12 Monate gereift , oplulentes Bukett, volle Frucht.",,eworld24,eworld24 Online Shop,4.99,,"['Weinkeller / Sonderaktionen / Restposten Wein', 'Conte di Lucca']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[PxUflq7ioKr8rkjGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/contedilucca2.png,Conte di Lucca Riserva Rotwein 2007,"Rotwein - Italien - Apulien. Über 12 Monate gereift , oplulentes Bukett, volle Frucht.",,eworld24,eworld24 Online Shop,5.69,,"['Weinkeller / Rotwein / Italien Rotwein', 'Conte di Lucca']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[qf4cba02f1abaf3dc19ff61ffdb73239]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/Qh6H6oY9hSZivdlGWBzBEd-30.jpg,MontGras Cabernet Sauvignon Reserva 2007,Chile - Colchagua Valley. Auszeichnung: GOLDMEDAILLE International Wine Challenge (JG 2003),,eworld24,eworld24 Online Shop,7.50,,"['Weinkeller / Sonderaktionen / Restposten Wein', 'MontGras']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[2EvPZuz8yyhnduiGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/Qh6H6oY9hSZivdlGWBzBEd-30.jpg,MontGras Cabernet Sauvignon Reserva 2011,Chile - Colchagua Valley. Auszeichnung: GOLDMEDAILLE International Wine Challenge (JG 2003),,eworld24,eworld24 Online Shop,8.49,,"['Weinkeller / Rotwein / Chile Rotwein', 'MontGras']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[0qnab516d3dfe470d08493b95a9dbbf7]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/Qh6H6oY9hSZivdlGWBzBEd-30.jpg,MontGras Cabernet Sauvignon Reserva 2010,Chile - Colchagua Valley. Auszeichnung: GOLDMEDAILLE International Wine Challenge (JG 2003),,eworld24,eworld24 Online Shop,7.50,,"['Weinkeller / Sonderaktionen / Restposten Wein', 'MontGras']",
