aff_link,img_medium,name,shortdescription,longdescription,author,outlet,price,external_id,further_keywords,vineyard
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1211.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1211.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1211.jpg,"Pasión Delinat La Mancha DO 2010, Bio Wein Rotwein",Mehr als ein Wein - hier stecken Temperament und spanische Leidenschaft drin.,,delinat,Delinat Online Shop,7.30 ,1211.10,"['Biowein', 'Bio', 'Wein > Rotwein > Spanien > La Mancha']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1217.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1217.09&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1217.05.jpg,"La Tour des Vidaux Tradition Côtes de Provence AOP 2009, Bio Wein Rotwein",Schon beim Schnuppern am Weinglas entführt Sie der würzige Duft mitten ins Herz der Provence.,,delinat,Delinat Online Shop,11.50 ,1217.09,"['Biowein', 'Bio', 'Wein > Rotwein > Frankreich > Provence > C\xc3\xb4tes de Provence']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1217.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1217.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1217.05.jpg,"La Tour des Vidaux Tradition Côtes de Provence AOP 2010, Bio Wein Rotwein",Schon beim Schnuppern am Weinglas entführt Sie der würzige Duft mitten ins Herz der Provence.,,delinat,Delinat Online Shop,11.50 ,1217.10,"['Biowein', 'Bio', 'Wein > Rotwein > Frankreich > Provence > C\xc3\xb4tes de Provence']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1222.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1222.09&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1222.jpg,"Finca Sol La Mancha DO 2009, Bio Wein Rotwein","Don Quijote hätte Freude an diesem Wein. Denn wie der traurige Ritter, so ist auch der Finca Sol ein Klassiker aus der La Mancha. Allerdings einer mit zeitgenössischem Charme.",,delinat,Delinat Online Shop,6.95 ,1222.09,"['Biowein', 'Bio', 'Wein > Rotwein > Spanien > La Mancha']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1237.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1237.11&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1237.jpg,"Fata Morgana Primitivo Puglia IGP 2011, Bio Wein Rotwein",Eine Spezialität aus dem südlichsten Zipfel Italiens. So verführerisch wie ein orientalisches Märchen.,,delinat,Delinat Online Shop,8.90 ,1237.11,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Puglia > Manduria']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1244.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1244.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1244.jpg,"Il Conventino Rosso di Montepulciano DOC 2010, Bio Wein Rotwein","Ein traditioneller Toskaner, gebaut auf Frucht und Würze - ohne Holzaromen. Ein Wein, so weich und harmonisch wie die Hügelzüge der Toskana.",,delinat,Delinat Online Shop,11.50 ,1244.10,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Toscana > Montepulciano']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1261.03.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1261.03&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1261.jpg,"Campo Quadro 2003 Barbaresco DOCG, Bio Wein Rotwein",Barbaresco in Bioqulität ist eine Rarität. Der Campo Quadro des bekannten Bioweinguts  Punset ist diesbezüglich ein Aushängeschild im Piemont.,,delinat,Delinat Online Shop,33.00 ,1261.03,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Piemonte']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1267.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1267.09&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1267.jpg,"Gentile Montepulciano d´Abruzzo DOC 2009, Bio Wein Rotwein","Hoch im Kurs: Immer mehr Leute entdecken Abruzzen-Weine wie den Gentile, der durch seinen eigenständigen Charakter besticht.",,delinat,Delinat Online Shop,9.90 ,1267.09,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Abruzzo']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1267.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1267.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1267.jpg,"Gentile Montepulciano d´Abruzzo DOC 2010, Bio Wein Rotwein","Lange unbeachtet, heute hoch im Kurs: Immer mehr Leute entdecken Abruzzen-Weine wie den Gentile, der durch seinen eigenständigen Charakter besticht.",,delinat,Delinat Online Shop,9.50 ,1267.10,"['Biowein', 'Bio', 'Wein > Rotwein > Italien > Abruzzo']",
http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1272.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1272.10&utm-campaign=affilinet-csv,http://www.delinat.com/flaschen/450h/1272.06.jpg,"La Tour des Vidaux Saint Paul Côtes de Provence AOP 2010, Bio Wein Rotwein","Im Klangmeer klassischer Musik gereift: Kräftig, vollmundig, harmonisch - ein Wein mit unvergleichlicher Harmonie.",,delinat,Delinat Online Shop,15.80 ,1272.10,"['Biowein', 'Bio', 'Wein > Rotwein > Frankreich > Provence > C\xc3\xb4tes de Provence']",
